ID,SRNA_NAME,TARGET_NAME,TAXID,ORG_CODE,STRAIN_NAME,SRNA_TYPE,SRNA_LENGTH,SRNA_START,SRNA_END,SRNA_STRAND,TARGET_TYPE,TARGET_LENGTH,TARGET_START,TARGET_END,TARGET_STRAND,REGULATION
1,dsrA,hns,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,87,2025227,2025313,reverse,mRMA,414,1292509,1292922,reverse,2
2,dsrA,rbsD,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,87,2025227,2025313,reverse,mRMA,420,3933351,3933770,forward,2
3,dsrA,argR,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,87,2025227,2025313,reverse,mRMA,471,3384703,3385173,forward,2
4,dsrA,ilvI,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,87,2025227,2025313,reverse,mRMA,1725,85630,87354,forward,2
5,ChiX,ybfM,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,80,556005,556084,forward,mRMA,1407,749534,750940,forward,2
6,dsrA,rpoS,511145,eco,Escherichia coli K12 MG1655,Trans-encoded antisense,87,2025227,2025313,reverse,mRMA,993,2866559,2867551,reverse,1
7,GcvB,argT,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,201,3135317,3135517,forward,mRMA,783,2465511,2466293,reverse,2
8,GcvB,dppA,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,201,3135317,3135517,forward,mRMA,1608,3814422,3816029,reverse,2
9,GcvB,gltI,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,201,3135317,3135517,forward,mRMA,927,728909,729835,reverse,2
10,GcvB,livJ,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,201,3135317,3135517,forward,mRMA,1098,3734502,3735599,reverse,2
11,GcvB,livK,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,201,3135317,3135517,forward,mRMA,1110,3732393,3733502,reverse,2
12,GcvB,oppA,99287,stm,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Trans-encoded antisense,201,3135317,3135517,forward,mRMA,1632,1839608,1841239,reverse,2
